,sender prefixes,nb of bytes,% of traffic (bytes)
495,210.197.0.0,357520897,0.011184338870869209
2293,46.164.0.0,356166465,0.011141968126689886
12780,137.205.0.0,352490591,0.011026975630285913
2171,165.205.0.0,351591317,0.010998843609925264
1994,219.37.0.0,340404285,0.010648879292043006
7486,100.225.0.0,337719001,0.010564875457658681
1177,198.172.0.0,335026357,0.01048064138013394
2345,122.97.0.0,332552666,0.010403256817055326
3361,16.193.0.0,325847373,0.010193494898885639
10005,106.196.0.0,325149247,0.010171655398526127
65,207.213.0.0,325135323,0.01017121981354146
2982,213.184.0.0,324520371,0.01015198224836686
1205,62.123.0.0,314558008,0.009840329294143574
8999,213.48.0.0,314172846,0.009828280257669544
2331,212.64.0.0,311962649,0.00975913858671603
26412,192.69.0.0,310850878,0.009724359015185684
13581,103.195.0.0,309970034,0.009696803541167134
8975,62.138.0.0,309348325,0.009677354596522454
2473,113.174.0.0,308277755,0.009643863917332907
3986,196.255.0.0,307730824,0.009626754255508067
2430,196.143.0.0,305737380,0.00956439327632284
195,144.211.0.0,304730996,0.009532910530042358
9837,104.64.0.0,303510976,0.009494744601214881
26,147.5.0.0,301862091,0.009443162473418046
20182,123.144.0.0,301266128,0.009424518941802327
2300,147.213.0.0,298740263,0.009345502217635662
17979,113.163.0.0,298371720,0.009333973073926652
4372,169.2.0.0,293374103,0.009177632444486978
3524,77.22.0.0,291974574,0.009133850929261006
1960,175.46.0.0,290665002,0.009092883542048945
2506,62.35.0.0,287749657,0.009001682701261466
795,57.55.0.0,285927369,0.008944676001280183
580,62.233.0.0,284065200,0.008886421702564805
7689,16.223.0.0,283243667,0.008860721656657832
6897,40.27.0.0,282476910,0.008836735170296978
119,77.101.0.0,278651335,0.008717059572213194
9784,206.188.0.0,278551091,0.008713923635614301
97,212.177.0.0,277951394,0.008695163293144464
2042,96.113.0.0,275417164,0.008615884886386822
122,165.162.0.0,275129685,0.00860689167065807
2210,147.133.0.0,274847510,0.008598064380148984
2970,198.180.0.0,272518994,0.008525221331732039
6802,77.19.0.0,271296318,0.008486972315162586
2369,52.123.0.0,269261736,0.008423324414467788
6692,169.17.0.0,268407678,0.008396606887834997
23810,110.225.0.0,267719668,0.008375083846661415
2196,97.179.0.0,266521895,0.008337613871522095
2618,213.163.0.0,266090611,0.008324121998890146
2952,196.136.0.0,265940940,0.008319439835701397
5051,103.245.0.0,264788032,0.008283373373944516
2078,54.172.0.0,264194880,0.008264817778941258
2515,198.178.0.0,261544073,0.00818189248976782
13081,35.80.0.0,260804714,0.008158763096010376
2194,196.64.0.0,259613154,0.008121487482369889
3317,73.155.0.0,257924235,0.008068652969534545
2099,46.216.0.0,256088284,0.008011218849440829
2478,115.45.0.0,255823213,0.008002926623968929
333,188.123.0.0,255324178,0.007987315294406775
3411,213.15.0.0,254104602,0.007949163255247006
2094,213.227.0.0,252062897,0.007885292525491179
1996,132.15.0.0,251682541,0.007873393835285196
12711,198.8.0.0,251266350,0.007860374117506277
1181,31.174.0.0,250540686,0.007837673144918398
12824,24.203.0.0,250078879,0.007823226420197468
176,229.53.0.0,249661767,0.007810177890742962
4345,52.122.0.0,249622522,0.007808950188019371
85,148.78.0.0,247631533,0.007746666008686009
2218,100.148.0.0,247296324,0.007736179653678443
2208,123.221.0.0,246392562,0.0077079072350549945
2620,115.148.0.0,245872193,0.007691628513215988
2661,4.100.0.0,243289805,0.007610843578040391
2175,35.128.0.0,241198194,0.007545411637120759
3874,141.18.0.0,240845862,0.007534389622698337
5290,169.44.0.0,239917339,0.007505342604835782
2975,77.103.0.0,239036600,0.0074777904155359474
4509,112.227.0.0,237730117,0.007436919661620186
1222,24.153.0.0,237058296,0.007415903061506412
18539,98.152.0.0,236557874,0.007400248342374182
10249,125.6.0.0,232996282,0.007288830933819804
2539,73.146.0.0,225213924,0.007045375153145759
8896,199.242.0.0,224648055,0.007027673053196843
25596,64.222.0.0,224131497,0.007011513551005679
5570,101.131.0.0,221445923,0.006927500644541093
24,31.116.0.0,220677333,0.006903456816376382
2818,159.1.0.0,219847317,0.0068774913964802595
2731,76.174.0.0,216447245,0.006771126823800878
8235,134.20.0.0,216167660,0.006762380556353435
5585,197.27.0.0,216102012,0.006760326887646637
1153,193.208.0.0,214650514,0.006714919624354868
1237,120.251.0.0,214154106,0.006699390475326662
3284,122.53.0.0,213049561,0.006664836955009992
2026,213.247.0.0,212816122,0.006657534274513313
207,177.92.0.0,212078252,0.006634451461195554
4461,73.251.0.0,211694407,0.0066224436244791225
4612,73.233.0.0,211088629,0.006603493049871123
2180,31.7.0.0,210900298,0.006597601484534482
182,83.151.0.0,210034803,0.006570526173826021
2583,116.10.0.0,208946444,0.006536479000720052
8890,192.93.0.0,207370433,0.006487176592843688
21925,154.67.0.0,206199300,0.006450539997766959
2014,31.3.0.0,206088568,0.006447075964692973
6894,189.54.0.0,205842077,0.006439364978018481
2883,115.42.0.0,202386471,0.006331263133252163
5931,147.113.0.0,201341964,0.006298587783813792
6786,165.177.0.0,201076336,0.006290278133691183
9665,133.29.0.0,199129957,0.006229389490566237
1157,212.71.0.0,198529033,0.006210590763811984
13094,137.30.0.0,198422773,0.0062072666284722295
2335,73.169.0.0,196587379,0.006149849933029221
96,10.105.0.0,195188000,0.006106073110258557
2225,169.28.0.0,194899891,0.006097060186217512
1097,77.107.0.0,190623476,0.005963280944461839
4605,213.45.0.0,190393348,0.005956081842095312
7633,96.154.0.0,188891791,0.005909108581335324
47,166.50.0.0,188652988,0.005901638098636854
3494,196.1.0.0,188217211,0.0058880056713269315
4360,192.172.0.0,187257140,0.005857971736264125
6791,137.29.0.0,186925113,0.005847584923875147
39,113.117.0.0,186900201,0.005846805600897696
1975,10.117.0.0,186234922,0.005825993654401397
2690,147.103.0.0,185926634,0.005816349469989366
2286,100.18.0.0,185333462,0.0057977932493254
9369,169.11.0.0,185047559,0.005788849335660409
2426,103.222.0.0,184876086,0.005783485139734248
3517,8.251.0.0,184720643,0.005778622410865271
2018,76.169.0.0,182684519,0.005714926271729914
1030,123.245.0.0,182325625,0.005703698978029312
1990,209.144.0.0,181823001,0.005687975373653169
57,62.211.0.0,180878809,0.005658438181909203
3184,66.112.0.0,179800630,0.005624709470103429
1230,103.229.0.0,178275096,0.0055769861360040725
1985,76.162.0.0,176954257,0.005535666282832357
2216,166.236.0.0,176232911,0.005513100390391261
2097,10.63.0.0,175543011,0.0054915182242808065
98,166.51.0.0,175052816,0.005476183436751434
