,sp,ibyt
39278,46187,47793405
45685,52691,47793244
43936,50942,47735216
45547,52553,47675355
43756,50762,47668853
44854,51860,47658686
42230,49236,47586173
45461,52467,47560582
61383,21267,47416174
42805,49811,47379120
44332,51338,47360736
44390,51396,47340498
54333,61340,47320231
44101,51107,47182100
38,587,47006364
44333,51339,46973814
44522,51528,46909741
43773,50779,46833708
30072,36693,46820914
11243,14189,46812949
44525,51531,46792500
36079,42901,46741838
10894,13755,46726737
47598,54604,46626818
44473,51479,46625131
49639,56645,46556603
3997,5204,46508103
44523,51529,46494448
47495,54501,46451494
45645,52651,46403098
45379,52385,46389640
43882,50888,46374950
52680,59687,46226657
43706,50712,46105279
44471,51477,45953362
51718,58725,45951240
45398,52404,45947324
53064,60071,45780014
42419,49425,45776830
30926,37586,45770018
48089,55095,45674218
45278,52284,45589391
52773,59780,45585639
45985,52991,45552270
44344,51350,45490931
45459,52465,45416640
276,1254,45300228
44524,51530,45245367
7853,10032,45193881
41024,47989,45172105
46072,53078,45170035
42236,49242,45162546
44634,51640,45055609
42945,49951,45013528
44558,51564,44896866
56271,63278,44873645
54974,61981,44859464
49186,56192,44795714
42600,49606,44789451
51529,58536,44764222
44297,51303,44748168
42438,49444,44735053
47529,54535,44732834
45749,52755,44708318
4292,5555,44697965
45460,52466,44634078
11986,15142,44619858
56576,63583,44575670
42971,49977,44453888
45129,52135,44201282
54896,61903,44195917
32563,39259,44032079
47556,54562,43875221
52336,59343,43773438
48110,55116,43771992
30041,36660,43760359
26814,33323,43718509
43870,50876,43707873
52687,59694,43699985
32932,39648,43676519
63663,45079,43578644
17558,21957,43507783
55638,62645,43500772
12318,15527,43375973
45022,52028,43366671
657,1645,43343337
44576,51582,43166623
52265,59272,43114331
42459,49465,43100162
42426,49432,43067458
47395,54401,43066739
45377,52383,43058933
33767,40512,43031988
55920,62927,42989292
39404,46315,42981528
29595,36193,42926222
42439,49445,42910605
57080,64087,42861442
42591,49597,42771692
27414,33937,42739126
27081,33599,42731394
51224,58231,42660572
44872,51878,42558625
49720,56726,42495853
24051,30011,42453866
50459,57466,42437741
45203,52209,42337660
46322,53328,42331113
36441,43269,42330997
43871,50877,42268965
44336,51342,42227103
42436,49442,42210287
26812,33321,42147148
44944,51950,42135655
56786,63793,42130275
3696,4863,42121537
47199,54205,42087973
47661,54667,42013042
45524,52530,42005458
42787,49793,41861428
39590,46508,41830083
46192,53198,41822382
54012,61019,41812297
40180,47115,41805151
44485,51491,41798653
46368,53374,41730552
50490,57497,41666488
35944,42761,41657244
45965,52971,41644079
28460,35020,41593841
44672,51678,41572769
53717,60724,41479499
37774,44641,41459141
51353,58360,41329094
44791,51797,41264886
44133,51139,41188008
52878,59885,41154366
43659,50665,41120972
42179,49185,41080059
44122,51128,41043377
46549,53555,41038199
34718,41500,41026180
47604,54610,41019467
47799,54805,41001234
46593,53599,40994327
26437,32938,40850359
8170,10405,40821869
43170,50176,40819897
39246,46155,40795278
48810,55816,40777598
38982,45882,40772816
659,1649,40646224
43994,51000,40610506
43824,50830,40609615
48292,55298,40602329
42708,49714,40591867
53145,60152,40468961
45648,52654,40391739
49766,56772,40310303
60636,16489,40248480
63795,1653,40207626
14550,18317,40194502
46323,53329,40177571
45984,52990,40175905
42707,49713,40159301
44537,51543,40153271
45888,52894,40141927
55347,62354,40111154
47672,54678,40069555
50811,57818,40039534
48329,55335,40009629
42450,49456,39954938
45767,52773,39951157
43058,50064,39906798
7898,10082,39896615
47671,54677,39885951
40034,46965,39861724
55346,62353,39812227
50447,57454,39792115
